payment_id,rows_count,first_date,last_date,transaction_types,source,is_sale_api,sale_reason,status,status_detail,operation_type,order_id,gross_amount,commission_calc,shipping_calc,launch_net_calc,net_api,extrato_sum,diff_extrato_vs_launch,money_release_date,money_release_status,fetch_error
137820920749,1,08-01-2026,08-01-2026,reserve_for_dispute,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014374523874,265.9,31.91,24.95,209.04,209.04,209.04,0.0,2025-12-31,released,
137943496999,3,04-01-2026,04-01-2026,mediation | payment | refund,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014388102882,797.7,95.73,74.85,627.12,627.12,-0.0,-627.12,2026-01-04,released,
137956201281,1,04-01-2026,04-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014389267090,176.99,21.24,21.1,134.65,134.65,134.65,0.0,2026-01-04,released,
137984713337,1,03-01-2026,03-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014392230340,266.84,43.15,23.45,200.24,192.95,192.95,-7.29,2026-01-03,released,
138128527733,1,12-01-2026,12-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014406182452,56.9,13.29,0.0,43.61,43.61,43.61,0.0,2026-01-12,released,
138151129880,3,05-01-2026,05-01-2026,mediation | refund | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014335352152,267.8,32.14,25.74,209.92,209.92,-0.0,-209.92,2025-12-26,released,
138157090675,1,01-01-2026,01-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014409105758,82.64,9.92,12.87,59.85,59.85,59.85,0.0,2026-01-01,released,
138199281600,1,01-01-2026,01-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014341945804,4656.8,558.82,103.14,3994.84,3994.84,3994.84,0.0,2026-01-01,released,
138209751237,4,08-01-2026,14-01-2026,mediation | refund | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014413895652,104.4,12.53,13.96,77.91,77.91,-91.87,-169.78,2025-12-31,released,
138378440869,1,06-01-2026,06-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014432249208,458.75,55.05,44.45,359.25,359.25,359.25,0.0,2026-01-06,released,
138422010977,1,03-01-2026,03-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014436712752,138.6,16.63,15.96,106.01,106.01,106.01,0.0,2026-01-03,released,
138438608281,1,20-01-2026,20-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014438084952,18.9,8.52,0.0,10.38,10.38,10.38,0.0,2026-01-20,released,
138470835041,1,03-01-2026,03-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014441077294,82.64,9.92,12.87,59.85,59.85,59.85,0.0,2026-01-03,released,
138580747200,1,13-01-2026,13-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014387859390,52.15,12.75,0.0,39.4,39.4,39.4,0.0,2026-01-13,released,
138589575676,1,08-01-2026,08-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014388690848,52.15,12.75,0.0,39.4,39.4,39.4,0.0,2026-01-08,released,
138624282840,1,03-01-2026,03-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014392230340,102.71,0.0,0.0,102.71,100.0,100.0,-2.71,2026-01-03,released,
138651457556,1,01-01-2026,01-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014395026448,498.65,59.84,24.95,413.86,413.86,413.86,0.0,2026-01-01,released,
138669872419,1,06-01-2026,06-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014454278950,816.9,98.03,24.95,693.92,693.92,693.92,0.0,2026-01-06,released,
138783129376,1,05-01-2026,05-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014407676354,457.8,54.94,23.45,379.41,379.41,379.41,0.0,2026-01-05,released,
138801389025,5,12-01-2026,13-01-2026,mediation | payment | refund | reserve_for_bpp_shipping_return,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014461661668,131.95,22.43,17.96,91.56,91.56,0.0,-91.56,2026-01-12,released,
138829029705,1,13-01-2026,13-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014465489144,284.9,34.19,23.45,227.26,227.26,227.26,0.0,2026-01-13,released,
138831661975,1,06-01-2026,06-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014465829754,120.55,13.74,15.96,90.85,84.82,84.82,-6.03,2026-01-06,released,
138832808337,1,05-01-2026,05-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014465970370,113.9,13.67,13.96,86.27,86.27,86.27,0.0,2026-01-05,released,
138872716908,1,05-01-2026,05-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014416448380,312.55,37.51,24.95,250.09,250.09,250.09,0.0,2026-01-05,released,
138913692605,1,11-01-2026,11-01-2026,shipping,ml_api_or_cache,False,marketplace_shipment,approved,accredited,regular_payment,46161249818,0.0,0.0,0.0,0.0,0.0,8.99,0.0,2026-01-11,released,
138913716245,1,11-01-2026,11-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014473265914,126.9,15.23,24.95,86.72,86.72,86.72,0.0,2026-01-11,released,
138913863776,4,02-01-2026,16-01-2026,mediation | refund | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014421034758,117.7,14.12,15.01,88.57,88.57,-88.57,-177.14,2025-12-31,released,
138918142027,1,15-01-2026,15-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014473836012,173.9,20.87,17.95,135.08,135.08,135.08,0.0,2026-01-15,released,
138925781261,1,11-01-2026,11-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014474729180,545.9,65.51,26.95,453.44,453.44,453.44,0.0,2026-01-11,released,
139007155831,1,11-01-2026,11-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014482845232,126.9,21.57,17.16,88.17,88.17,88.17,0.0,2026-01-11,released,
139010170535,1,07-01-2026,07-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014483047120,119.9,14.39,13.96,91.55,91.55,91.55,0.0,2026-01-07,released,
139026984141,1,07-01-2026,07-01-2026,shipping,ml_api_or_cache,False,no_order_id,approved,accredited,money_transfer,,0.0,0.0,0.0,0.0,0.0,10.9,0.0,2026-01-07,released,
139028602698,1,07-01-2026,07-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014432874558,284.9,34.19,23.45,227.26,227.26,227.26,0.0,2026-01-07,released,
139030048789,1,08-01-2026,08-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014484760584,119.9,14.39,13.96,91.55,91.55,91.55,0.0,2026-01-08,released,
139039262394,1,16-01-2026,16-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014433811804,33.15,12.14,0.0,21.01,21.01,21.01,0.0,2026-01-16,released,
139045221744,1,06-01-2026,06-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014434556606,355.1,42.62,42.21,270.27,270.27,270.27,0.0,2026-01-06,released,
139054224668,1,04-01-2026,04-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014435529468,322.9,54.89,23.45,244.56,244.56,244.56,0.0,2026-01-04,released,
139099194844,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014439536280,115.8,13.9,13.96,87.94,87.94,87.94,0.0,2026-01-10,released,
139125735193,1,13-01-2026,13-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014493652994,165.9,19.91,17.95,128.04,128.04,128.04,0.0,2026-01-13,released,
139129400507,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014493982342,117.9,14.15,15.01,88.74,88.74,88.74,0.0,2026-01-10,released,
139159212087,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014497677726,176.9,21.23,17.95,137.72,137.72,137.72,0.0,2026-01-10,released,
139203929962,1,03-01-2026,03-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014447467240,168.05,20.17,17.95,129.93,129.93,129.93,0.0,2026-01-03,released,
139213716686,1,05-01-2026,05-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014448218470,94.9,11.39,11.97,71.54,71.54,71.54,0.0,2026-01-05,released,
139255269695,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,payment_addition,2000014488073740,63.9,2.87,0.0,61.03,61.03,61.03,0.0,2026-01-10,released,
139259469329,1,11-01-2026,11-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014507383438,467.3,56.08,26.95,384.27,384.27,384.27,0.0,2026-01-11,released,
139291861708,1,11-01-2026,11-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014453328642,52.15,0.0,0.0,52.15,52.15,52.15,0.0,2026-01-11,released,
139313216580,1,06-01-2026,06-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014454195942,284.9,34.19,23.45,227.26,227.26,227.26,0.0,2026-01-06,released,
139315606888,1,04-01-2026,04-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014454279344,127.2,21.62,15.96,89.62,89.62,89.62,0.0,2026-01-04,released,
139348906355,5,16-01-2026,19-01-2026,mediation | payment | refund | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014515283024,117.7,14.12,15.71,87.87,87.87,0.0,-87.87,2026-01-16,released,
139372712227,1,18-01-2026,18-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014516733978,20.79,9.78,0.0,11.01,11.01,11.01,0.0,2026-01-18,released,
139374897181,1,17-01-2026,17-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014516905152,20.79,9.78,0.0,11.01,11.01,11.01,0.0,2026-01-17,released,
139376839014,1,08-01-2026,08-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014456899946,116.75,14.01,13.96,88.78,88.78,88.78,0.0,2026-01-08,released,
139380061139,2,21-01-2026,21-01-2026,payment | reserve_for_dispute,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014517215696,276.35,23.41,23.45,229.49,219.49,0.0,-229.49,2026-01-21,released,
139388729817,1,18-01-2026,18-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014517810802,390.35,66.36,23.45,300.54,300.54,300.54,0.0,2026-01-18,released,
139414147108,1,10-01-2026,10-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014458793808,246.9,41.97,24.95,179.98,179.98,179.98,0.0,2026-01-10,released,
139418035561,1,17-01-2026,17-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014520232314,60.7,14.03,0.0,46.67,46.67,46.67,0.0,2026-01-17,released,
139424002237,1,12-01-2026,12-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014520673906,163.01,14.52,17.95,130.54,130.54,130.54,0.0,2026-01-12,released,
139549946052,1,19-01-2026,19-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014472159200,647.9,77.75,26.95,543.2,543.2,543.2,0.0,2026-01-19,released,
139556522094,1,19-01-2026,19-01-2026,payment,ml_api_or_cache,True,sale,approved,accredited,regular_payment,2000014472840962,4817.9,578.15,73.45,4166.3,4166.3,4166.3,0.0,2026-01-19,released,
139562683028,3,02-01-2026,02-01-2026,mediation | payment | refund,ml_api_or_cache,True,sale,refunded,bpp_refunded,regular_payment,2000014473594232,109.9,13.19,13.96,82.75,82.75,-13.96,-96.71,2026-01-02,released,
